"","callTime_GMT","marketId","inplay","selectionId","competitorStatus","bckPrc1","bckPrc2","bckPrc3","bckSz1","bckSz2","bckSz3","layPrc1","layPrc2","layPrc3","laySz1","laySz2","laySz3"
"1","2017-04-27 13:24:00",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,48.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"2","2017-04-27 13:24:00",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,6.54,56.34,49.43,2.84,2.86,2.88,14.44,99.74,73.86
"3","2017-04-27 13:24:00",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,25.01,18.5,64.54
"4","2017-04-27 13:24:00",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"5","2017-04-27 13:24:00",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"6","2017-04-27 13:24:00",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-04-27 13:24:01",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,48.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"8","2017-04-27 13:24:01",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.83,56.34,49.43,2.84,2.86,2.88,14.44,99.74,73.86
"9","2017-04-27 13:24:01",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,25.01,18.5,64.54
"10","2017-04-27 13:24:01",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"11","2017-04-27 13:24:01",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"12","2017-04-27 13:24:01",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-04-27 13:24:01",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,48.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"14","2017-04-27 13:24:01",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,14.44,99.74,73.86
"15","2017-04-27 13:24:01",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,25.01,18.5,64.54
"16","2017-04-27 13:24:01",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"17","2017-04-27 13:24:01",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"18","2017-04-27 13:24:01",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-04-27 13:24:02",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"20","2017-04-27 13:24:02",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,14.44,99.74,77.24
"21","2017-04-27 13:24:02",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,25.01,18.5,64.54
"22","2017-04-27 13:24:02",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"23","2017-04-27 13:24:02",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"24","2017-04-27 13:24:02",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-04-27 13:24:03",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"26","2017-04-27 13:24:03",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,14.44,99.74,77.24
"27","2017-04-27 13:24:03",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,25.01,18.5,64.54
"28","2017-04-27 13:24:03",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"29","2017-04-27 13:24:03",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"30","2017-04-27 13:24:03",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-04-27 13:24:04",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"32","2017-04-27 13:24:04",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"33","2017-04-27 13:24:04",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"34","2017-04-27 13:24:04",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"35","2017-04-27 13:24:04",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"36","2017-04-27 13:24:04",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-04-27 13:24:05",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"38","2017-04-27 13:24:05",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"39","2017-04-27 13:24:05",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"40","2017-04-27 13:24:05",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"41","2017-04-27 13:24:05",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"42","2017-04-27 13:24:05",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-04-27 13:24:05",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"44","2017-04-27 13:24:05",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"45","2017-04-27 13:24:05",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"46","2017-04-27 13:24:05",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"47","2017-04-27 13:24:05",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"48","2017-04-27 13:24:05",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2017-04-27 13:24:06",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"50","2017-04-27 13:24:06",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"51","2017-04-27 13:24:06",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"52","2017-04-27 13:24:06",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"53","2017-04-27 13:24:06",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"54","2017-04-27 13:24:06",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2017-04-27 13:24:07",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"56","2017-04-27 13:24:07",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"57","2017-04-27 13:24:07",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"58","2017-04-27 13:24:07",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"59","2017-04-27 13:24:07",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"60","2017-04-27 13:24:07",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2017-04-27 13:24:08",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"62","2017-04-27 13:24:08",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"63","2017-04-27 13:24:08",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"64","2017-04-27 13:24:08",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"65","2017-04-27 13:24:08",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"66","2017-04-27 13:24:08",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2017-04-27 13:24:09",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"68","2017-04-27 13:24:09",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
"69","2017-04-27 13:24:09",1.131267607,FALSE,11149841,"ACTIVE",6.4,6.2,6,15.48,67.32,32.02,6.6,6.8,7,24.25,18.5,64.54
"70","2017-04-27 13:24:09",1.131267607,FALSE,12327645,"ACTIVE",14,13.5,13,4,2.04,16.4,15,16,16.5,22.07,10.12,4.84
"71","2017-04-27 13:24:09",1.131267607,FALSE,6484261,"ACTIVE",17,16.5,16,7.24,43.53,9.67,18,18.5,19,37.88,3.57,59.43
"72","2017-04-27 13:24:09",1.131267607,FALSE,11734192,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2017-04-27 13:24:09",1.131267607,FALSE,10354065,"ACTIVE",2.72,2.7,2.68,15.36,56.98,93.69,2.76,2.78,2.8,47.4,51.18,103.89
"74","2017-04-27 13:24:09",1.131267607,FALSE,12154433,"ACTIVE",2.82,2.8,2.78,5.12,56.34,49.43,2.84,2.86,2.88,15.86,99.74,77.24
