"","callTime_GMT","marketId","inplay","selectionId","competitorStatus","bckPrc1","bckPrc2","bckPrc3","bckSz1","bckSz2","bckSz3","layPrc1","layPrc2","layPrc3","laySz1","laySz2","laySz3"
"1","2017-04-27 15:39:05",1.131267637,FALSE,9004185,"ACTIVE",2.92,2.9,2.88,21.46,83.82,24.93,2.94,2.96,2.98,4.55,31.01,65.61
"2","2017-04-27 15:39:05",1.131267637,FALSE,9331441,"ACTIVE",8.8,8.6,8.4,5.63,6.57,14.37,9.4,9.8,10,8.41,3.81,10.53
"3","2017-04-27 15:39:05",1.131267637,FALSE,9130650,"ACTIVE",7.8,7.6,7.4,5.54,24.45,38.93,8.2,8.4,8.6,7.1,15.82,11.96
"4","2017-04-27 15:39:05",1.131267637,FALSE,10685359,"ACTIVE",8.8,8.6,8.4,10.92,15.25,33.15,9,9.2,9.4,2,48.21,12.71
"5","2017-04-27 15:39:05",1.131267637,FALSE,10685361,"ACTIVE",4.2,4.1,4,22.85,37.74,152.17,4.3,4.4,4.5,6.85,19.54,49.56
"6","2017-04-27 15:39:05",1.131267637,FALSE,5422795,"ACTIVE",12,11.5,11,14.66,12.01,10.58,13.5,14,14.5,6.83,22.29,50.55
"7","2017-04-27 15:39:06",1.131267637,FALSE,9004185,"ACTIVE",2.92,2.9,2.88,21.46,83.82,24.93,2.94,2.96,2.98,4.55,31.01,65.61
"8","2017-04-27 15:39:06",1.131267637,FALSE,9331441,"ACTIVE",8.8,8.6,8.4,5.63,6.57,14.37,9.4,9.8,10,8.41,3.81,10.53
"9","2017-04-27 15:39:06",1.131267637,FALSE,9130650,"ACTIVE",7.8,7.6,7.4,5.54,24.45,38.93,8.2,8.4,8.6,7.1,15.82,11.96
"10","2017-04-27 15:39:06",1.131267637,FALSE,10685359,"ACTIVE",8.8,8.6,8.4,10.92,15.25,33.15,9,9.2,9.4,2,48.21,12.71
"11","2017-04-27 15:39:06",1.131267637,FALSE,10685361,"ACTIVE",4.2,4.1,4,22.85,37.74,152.17,4.3,4.4,4.5,6.85,19.54,49.56
"12","2017-04-27 15:39:06",1.131267637,FALSE,5422795,"ACTIVE",12,11.5,11,14.66,12.01,10.58,13.5,14,14.5,6.83,22.29,50.55
"13","2017-04-27 15:39:07",1.131267637,FALSE,9004185,"ACTIVE",2.92,2.9,2.88,21.46,83.82,24.93,2.96,2.98,3,31.01,65.61,247.18
"14","2017-04-27 15:39:07",1.131267637,FALSE,9331441,"ACTIVE",8.8,8.6,8.4,5.63,6.57,14.37,9.4,9.8,10,8.41,3.81,10.53
"15","2017-04-27 15:39:07",1.131267637,FALSE,9130650,"ACTIVE",7.8,7.6,7.4,5.54,24.45,38.93,8.2,8.4,8.6,3.1,15.82,11.96
"16","2017-04-27 15:39:07",1.131267637,FALSE,10685359,"ACTIVE",8.8,8.6,8.4,10.92,15.25,33.15,9,9.2,9.4,2,48.21,12.71
"17","2017-04-27 15:39:07",1.131267637,FALSE,10685361,"ACTIVE",4.1,4,3.95,37.74,162.17,92.35,4.3,4.4,4.5,11.6,19.54,49.56
